date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,soil_temperature_0_to_7cm_mean,vapour_pressure_deficit_max,soil_moisture_0_to_10cm_mean
2025-01-01,27.979043772893775,7.268186310911311,1.0840274272947839,3.4457709010434026,13.37272327228327,28.060746390211094,1.560221933066933,
2025-01-02,31.067953266178257,13.628094546303373,0.0,3.2996019346296985,12.390449185259186,28.35531751581751,1.7739838591963593,
2025-01-03,31.531258014208007,16.797871955821957,0.0,2.8316180821955816,11.20469785991786,28.603894991936162,1.5619487507263978,
2025-01-04,31.687169125319116,18.586629290154296,0.0,2.2667022726130077,9.475246474734417,28.696461558702737,1.4279791106116102,
2025-01-05,32.73633343878343,19.234821750471752,0.0,1.8799628070948662,9.580527145632146,28.87808842072959,1.3490666296611886,
2025-01-06,33.70035739260739,22.2057396048396,0.0,1.5900964943553177,9.23216874958375,29.376391003440993,1.3498909042754632,
2025-01-07,33.75065818625818,22.229072938172934,2.2348329229282915,1.4559141146761732,9.32599642968143,29.494323307248298,1.3498909042754632,
2025-01-08,33.75065818625818,22.229072938172934,3.156621484199792,1.4601918924539508,9.351381045066045,29.511048453447124,1.3498909042754632,
2025-01-09,33.75065818625818,22.229072938172934,4.908868639227794,1.460191892453951,9.351381045066045,29.511048453447124,1.352909086093645,
2025-01-10,33.75065818625818,22.22907293817293,4.959789913161874,1.460191892453951,9.27992548951049,29.511048453447124,1.352909086093645,
2025-01-11,33.75065818625818,22.229072938172934,0.0,1.460191892453951,9.27992548951049,29.511048453447124,1.3529090860936452,
2025-01-12,33.75065818625818,22.229072938172934,0.0,1.4475052257872845,9.243750886335885,29.511048453447135,1.352909086093645,
2025-01-13,33.75065818625818,22.30432293817294,0.0,1.4703667642488227,9.417215965700965,29.511048453447124,1.352909086093645,
2025-01-14,33.75065818625818,22.323622938172935,0.0,1.4984898106468691,9.427523108558107,29.511048453447124,1.352909086093645,
2025-01-15,33.75065818625818,22.323622938172935,0.0,1.5015052563123148,9.45386629037629,29.511048453447128,1.352909086093645,
2025-01-16,33.750658186258185,22.323622938172935,0.0,1.5015052563123148,9.45386629037629,29.511048453447128,1.352909086093645,
2025-01-17,33.750658186258185,22.323622938172935,0.0,1.5015052563123148,9.48892629037629,29.511048453447124,1.339384086093645,
2025-01-18,33.75065818625818,22.339469092019094,0.0,1.5015052563123148,9.48892629037629,29.511048453447124,1.311495752760312,
2025-01-19,33.75065818625818,22.339469092019094,0.0,1.536665970598029,9.48892629037629,29.511048453447124,1.2217457194602788,
2025-01-20,33.75065818625818,22.33946909201909,4.882677034384372,1.5366659705980288,9.441381845931845,29.511048453447124,1.1377701167296757,
2025-01-21,33.75065818625818,22.339469092019094,0.0,1.5772952282684631,9.762929464979463,29.511048453447128,0.9920837823287821,
2025-01-22,33.769408186258175,22.339469092019094,0.0,1.5772952282684631,9.697620893550893,29.511048453447124,0.8749862282162281,
2025-01-23,33.769408186258175,22.339469092019094,0.0,1.5772952282684631,9.697620893550893,29.511048453447124,0.840734593184593,
2025-01-24,33.769408186258175,22.339469092019094,0.0,1.6436648009180357,10.052590503940502,29.511048453447128,0.8104787499342763,
2025-01-25,33.769408186258175,22.339469092019094,0.0,1.7292895543345534,10.332297170607166,29.511048453447124,0.8491029851435117,
2025-01-26,33.769408186258175,22.339469092019094,3.380525756811013,1.8278298140748133,10.332297170607166,29.511048453447124,0.8446500869306132,
2025-01-27,33.769408186258175,22.339469092019094,0.0,1.8899723537573527,10.635376535686534,29.511048453447124,0.8602950869306133,
2025-01-28,33.769408186258175,22.33946909201909,0.0,1.904853306138305,10.59908336108336,29.511048453447128,0.8488469051124315,
2025-01-29,33.769408186258175,22.339469092019094,3.0707793390134404,2.001994219114218,10.729586896436894,29.511048453447124,0.911569598530125,
2025-01-30,33.769408186258175,22.350822938172936,0.0,2.0578459146409136,11.13910113941614,29.511048453447124,1.0528985825285821,
2025-01-31,33.769408186258175,22.400251509601507,0.9940319848337253,2.073766910311909,11.30436558830059,29.511048453447124,1.109448282273282,
2025-02-01,33.769408186258175,22.432984842934843,0.0,2.073766910311909,12.09268662393162,29.511048453447128,1.0685609457209457,
2025-02-02,33.61140818625818,22.432984842934843,0.0,2.073766910311909,13.74579979888532,29.511048453447124,1.101867811077811,
2025-02-03,33.61140818625818,22.438648407148417,0.0,2.100233576978576,13.695202521367518,29.494323307248298,1.0824183089133088,
2025-02-04,33.61140818625818,22.416559518259522,0.0,2.1123573865023855,14.08016341158841,29.494323307248298,1.0790588067488067,
2025-02-05,33.61140818625818,22.416559518259522,0.0,2.112357386502386,14.786590284160283,29.494323307248298,1.0771088067488066,
2025-02-06,33.61140818625818,22.416559518259522,0.0,2.1123573865023855,15.415318085248089,29.494323307248298,1.1028069885669887,
2025-02-07,33.650699852924845,22.416559518259522,0.0,2.1123573865023855,15.097640252802755,29.494323307248298,1.1300552136752138,
2025-02-08,33.715357819957816,22.390149261849263,0.0,2.1123573865023855,15.430698178488182,29.494323307248298,1.0640737179487183,
2025-02-09,33.75888004218004,22.40455330225331,0.0,2.1123573865023855,15.025341890054394,29.494323307248298,1.1284417071817074,
2025-02-10,33.75888004218004,22.40455330225331,0.0,2.136982061827061,15.671709236319238,29.511048453447124,1.084233717948718,
2025-02-11,33.75888004218004,22.37483901653902,0.0,2.168600970140969,15.749252856979622,29.511048453447124,1.1568110722610725,
2025-02-12,33.75888004218004,22.37483901653902,0.0,2.256364082029081,15.834574675161441,29.511048453447128,1.1953533045712461,
